,title,value
3605,trump say think republican have the vote to pas tax reform fox business interview,1.0
2761,trump open to biofuel policy reform senator say after meeting,1.0
4568,mattis not decided on number of extra u s troop for afghanistan,1.0
1695,disgusting gop plan would make people prove they are worthy of healthcare,0.0
2873,mueller removed fbi agent from russia probe for anti trump text report,1.0
702,white house in chaos a trump fire scaramucci after only 10 day on the job,0.0
1326,oregon republican want to put right wing militia on government payroll but only to defend republican,0.0
924,trump kick off poland visit by trashing america in unhinged russia rant video,0.0
2703,house speaker ryan say he belief upbeat treasury tax study,1.0
3654,exclusive trump selects washington lawyer joe simon to head ftc official,1.0
2148,trump just had the most awkward moment with saudi crown prince humiliates himself video,0.0
2253,the gop make america sick again plan wa released and it s worse than you thought detail,0.0
4354,trump say he will get into great detail on tax reform in next two week,1.0
4662,german politician accuse trump of trivializing nazi violence,1.0
1126,kushner is now under fire by special counsel for potential dirty financial dealing,0.0
4345,house speaker back role for congress in debt limit increase,1.0
457,psycho cop drag handcuffed nurse from hospital for not letting him violate patient s right,0.0
3706,key republican say trump must work with europe on iran,1.0
3789,u s justice dept official should not review at t time warner deal senator,1.0
1966,maker of fake planned parenthood baby part video slapped with 15 felony charge,0.0
3233,china s xi say will persist with korean peninsula denuclearization,1.0
2871,white house open to small change on corporate tax rate budget chief mulvaney,1.0
1011,the supreme court just put a huge stake through the heart of the first amendment,0.0
3069,u s charge two with bribing african official for china energy firm,1.0
570,fox news asks this man for picture of new york solidarity march his response is priceless,0.0
3093,trump start paying his own legal bill on russia probe attorney,1.0
946,trump s latest twitter outburst is a violent fake wrestling clip attacking cnn,0.0
3465,bernie sander back millionaire tax to fix new york subway,1.0
2369,trump s moronic fake news attack accidentally send new york time subscription though the roof,0.0
3158,senate approves trump transportation department nominee,1.0
4316,republican see tax reform complicated by trump deal with democrat,1.0
4514,factbox what are the u s budget debt limit issue spooking market,1.0
3690,justice department to create post overseeing asset forfeiture program,1.0
3270,china say will investigate if u n resolution on north korea contravened,1.0
2130,judge us trump s own word to prove travel ban is about banning muslim slap down order,0.0
1556,condoleezza rice america wa born with a birth defect slavery video,0.0
