,title,value
6855,texas teen fatally shoot himself 5 day after nra recommended gun safety course video,0.0
8689,oregon militant flip over his vehicle break more law guess what the cop do image,0.0
13114,trump to make announcement on any comey tape this week white house,1.0
12471,senate to vote on russia sanction bill later on thursday,1.0
7635,bloomberg ha some news about running for president,0.0
12350,trump weighs energy secretary perry to run homeland security report,1.0
5624,neo nazi created the star of david anti hillary meme trump tweeted,0.0
19593,house pass bill to aid child born into opioid dependency,1.0
16663,white house chief of staff welcome new member to rank,1.0
11734,house republican say tax plan will not have specific rate,1.0
4169,alec baldwin didn t even wait for trump to whine about snl before smacking him around video,0.0
6902,meet the man behind all the anti lgbt law nationwide you may recognize him video,0.0
11242,rouhani say iran will stay in nuclear deal only if it serf interest tv,1.0
412,five all american football player booted from team with black qb after kkk display,0.0
7590,trump fan violently attack black protester guess who security tackled video,0.0
10753,democratic win in u s state election boost hope for carbon trading,1.0
10532,factbox what is the u s consumer financial protection bureau,1.0
11539,factbox trump on twitter sept 26 nfl rating nikki haley spain,1.0
16128,drug lobby under criticism start medium campaign,1.0
7430,republican lawmaker helped orchestrate the bundy standoff wanted war with fed audio,0.0
7093,watch mitch mcconnell admit he s lying about why he obstructed obama s scotus nominee video,0.0
17679,arkansas court strike down a medical marijuana proposal on ballot,1.0
15173,house oversight panel chair session should clarify his testimony,1.0
18259,clinton reject mexico invitation after trump s diplomatic ruckus,1.0
1487,watch chomsky explains why the gop is the most dangerous organization in human history,0.0
6589,watch ted cruz s disturbing reaction when carly fiorina take a header off of a stage video,0.0
18945,sander back in u s senate blast colonialism in puerto rico,1.0
8322,watch obama celebrates job win drop truth bomb that will make gop squeal image,0.0
14590,u s debt to reach 150 percent of gdp in 30 year cbo,1.0
3383,grab em by the p ssy scott baio say wife of red hot chili pepper drummer beat him up,0.0
1185,trump play golf again in wake of damning comey testimony,0.0
3581,carrier to employee donald trump lied we re still sending 1 300 job to mexico,0.0
19824,spy chief pressed for number of american ensnared in data espionage,1.0
